NAME1,GEOMETRY_X,GEOMETRY_Y,GRID_REF,LAT,LONG
Brighton and Hove,530855.48,104316.63,TQ3085504316,50.823607,-0.14355342
Glasgow,260107,665646,NS6010765646,55.863630,-4.2368840
Ripon,431235.99,471236.97,SE3123571236,54.136024,-1.5234382
Lincoln,497650,371864,SK9765071864,53.234841,-0.53844035
Inbhir Nis,266617,845493,NH6661745493,57.479998,-4.2262213
Preston,354046,429582,SD5404629582,53.760554,-2.6985277
St Davids,175405.31,225295.92,SM7540525295,51.880865,-5.2646440
Southampton,441982.48,111881.99,SU4198211881,50.904882,-1.4043128
Exeter,291913.77,92560.1,SX9191392560,50.722579,-3.5326106
Edinburgh,325846.71,674007.495,NT2584674007,55.953344,-3.1891217
Lancaster,347513,461866,SD4751361866,54.050069,-2.8031610
Worcester,384983.51,254988.95,SO8498354988,52.192923,-2.2211025
Cambridge,544945.26,258409.53,TL4494558409,52.204853,0.11967982
Coventry,433644,278970,SP3364478970,52.407707,-1.5068570
Wells,354888.38,145691.92,ST5488845691,51.208634,-2.6471657
Stoke-on-Trent,388468,347224,SJ8846847224,53.022184,-2.1733692
Leicester,458743,304337,SK5874304337,52.633614,-1.1334621
Oxford,451342,206181,SP5134206181,51.751977,-1.2576471
City of London,532473,181219,TQ3247381219,51.514372,-0.092286518
London,530034,180381,TQ3003480381,51.507407,-0.12772404
Nottingham,457119.17,340206.33,SK5711940206,52.956196,-1.1512038
Bristol,358337,172855,ST5833772855,51.453134,-2.6009817
Norwich,622977,308549,TG2297708549,52.628869,1.2933072
Llanelwy,303654.993,374403.771,SJ0365474403,53.257853,-3.4457141
Abertawe,265694,193040,SS6569493040,51.620110,-3.9414177
City of Westminster,530162.42,179670.22,TQ3016279670,51.500988,-0.12614288
Canterbury,614822.78,157895.03,TR1482257895,51.279677,1.0788685
Sunderland,439611.79,556556.09,NZ3961156556,54.902165,-1.3838187
Durham,426946.38,542629.5,NZ2694642629,54.777855,-1.5826073
Bangor,258031,372216,SH5803172216,53.227956,-4.1282068
Peterborough,519204,298638,TL1920498638,52.572509,-0.24249764
Chichester,486074,104818,SU8607404818,50.836502,-0.77901999
Salford,380519.52,398253.83,SJ8051998253,53.480634,-2.2950132
Manchester,383819,398052,SJ8381998052,53.478940,-2.2452780
St Albans,514746.8,207261.75,TL1474607261,51.752299,-0.33910442
Ely,554027,280363,TL5402780363,52.399610,0.26250911
Truro,182648,44827,SW8264844827,50.263330,-5.0510127
Newcastle upon Tyne,425048,564892,NZ2504864892,54.978011,-1.6101890
Sheffield,435449,387427,SK3544987427,53.382508,-1.4685364
Leeds,429719,433916,SE2971933916,53.800703,-1.5502636
Wakefield,433241.5,420921.95,SE3324120921,53.683695,-1.4981845
Liverpool,335051.51,390727.82,SJ3505190727,53.409341,-2.9785098
Wolverhampton,391295,298719,SO9129598719,52.586205,-2.1299156
Aberdeen,394426,806556,NJ9442606556,57.149851,-2.0937598
Bradford,416267,432746,SE1626732746,53.790778,-1.7545611
Stirling,279834.41,693098.48,NS7983493098,56.115462,-3.9341623
Carlisle,340254,555719,NY4025455719,54.892620,-2.9330189
Bath,375093,164923,ST7509364923,51.382803,-2.3592852
Portsmouth,464148,100092,SU6414800092,50.796850,-1.0911700
Dundee,340092.72,730008.91,NO4009230008,56.458397,-2.9736874
Chelmsford,570896.673,207154.861,TL7089607154,51.737039,0.47359118
Lichfield,411772.74,309501.36,SK1177209501,52.683078,-1.8273014
Gloucester,383093,218470,SO8309318470,51.864550,-2.2469343
Hereford,350897,239976,SO5089739976,52.055979,-2.7175498
York,460218,452158,SE6021852158,53.962009,-1.0836749
Derby,435187,336492,SK3518736492,52.924693,-1.4780543
Plymouth,247764,54429,SX4776454429,50.370015,-4.1420683
Cardiff,318370.77,176329.3,ST1837076329,51.480005,-3.1768699
Kingston upon Hull,510063,428869,TA1006328869,53.744587,-0.33257589
Winchester,448380,129384,SU4838029384,51.061763,-1.3110037
Chester,340521,366273,SJ4052166273,53.190204,-2.8916436
Casnewydd,331042.47,188142.55,ST3104288142,51.587894,-2.9967420
Perth,311277.187,723508.358,NO1127723508,56.395471,-3.4389019
Birmingham,406689,286822,SP0668986822,52.479284,-1.9029407
Salisbury,414360,130135,SU1436030135,51.070368,-1.7964254
